emoji_code,Occurrences,Negative,Positive,positive_pc,negative_pc,sentimentScore
U+2797,2,1,0,0.0,0.5,-0.5
U+1f4c8,2,0,1,0.5,0.0,0.5
U+2318,2,0,0,0.0,0.0,0.0
U+23ea,2,0,1,0.5,0.0,0.5
U+2579,2,0,0,0.0,0.0,0.0
U+25ce,2,0,2,1.0,0.0,1.0
U+1f53c,2,0,0,0.0,0.0,0.0
U+a4a6,2,2,0,0.0,1.0,-1.0
U+1f4ce,2,0,2,1.0,0.0,1.0
U+2445,2,0,2,1.0,0.0,1.0
U+235d,2,0,0,0.0,0.0,0.0
U+1f4c1,2,0,0,0.0,0.0,0.0
U+272d,2,0,2,1.0,0.0,1.0
U+27b2,2,0,0,0.0,0.0,0.0
U+2653,2,0,1,0.5,0.0,0.5
U+250f,2,0,2,1.0,0.0,1.0
U+2607,2,0,2,1.0,0.0,1.0
U+267a,2,0,0,0.0,0.0,0.0
U+265e,2,0,0,0.0,0.0,0.0
U+fce,2,2,0,0.0,1.0,-1.0
U+1f4e0,2,0,0,0.0,0.0,0.0
U+1f458,2,0,2,1.0,0.0,1.0
U+2199,2,0,2,1.0,0.0,1.0
U+24bb,2,0,1,0.5,0.0,0.5
U+24cc,2,0,1,0.5,0.0,0.5
U+24c5,2,0,1,0.5,0.0,0.5
U+1f551,2,0,1,0.5,0.0,0.5
U+1f4bd,1,0,0,0.0,0.0,0.0
U+1f55b,1,0,1,1.0,0.0,1.0
U+1f3ab,1,0,0,0.0,0.0,0.0
U+2648,1,1,0,0.0,1.0,-1.0
U+1f4df,1,0,0,0.0,0.0,0.0
U+2103,1,0,0,0.0,0.0,0.0
U+21ac,1,0,1,1.0,0.0,1.0
U+1f552,1,0,0,0.0,0.0,0.0
U+1f1f0,1,0,0,0.0,0.0,0.0
U+21b1,1,0,0,0.0,0.0,0.0
U+270d,1,0,1,1.0,0.0,1.0
U+21d0,1,0,0,0.0,0.0,0.0
U+1f3e6,1,0,1,1.0,0.0,1.0
U+1f53b,1,0,1,1.0,0.0,1.0
U+24df,1,0,1,1.0,0.0,1.0
U+24d5,1,0,1,1.0,0.0,1.0
U+24d8,1,0,1,1.0,0.0,1.0
U+267f,1,0,1,1.0,0.0,1.0
U+21d7,1,0,1,1.0,0.0,1.0
U+21d8,1,0,1,1.0,0.0,1.0
U+24e8,1,0,1,1.0,0.0,1.0
U+24d9,1,0,1,1.0,0.0,1.0
U+25ab,1,0,1,1.0,0.0,1.0
U+1f507,1,0,1,1.0,0.0,1.0
U+2303,1,1,0,0.0,1.0,-1.0
U+1f516,1,0,1,1.0,0.0,1.0
U+1f4dc,1,0,1,1.0,0.0,1.0
U+264f,1,0,0,0.0,0.0,0.0
U+1f69d,1,0,1,1.0,0.0,1.0
U+2622,1,0,0,0.0,0.0,0.0
U+1f38f,1,0,0,0.0,0.0,0.0
U+2518,1,1,0,0.0,1.0,-1.0
U+271d,1,1,0,0.0,1.0,-1.0
U+2756,1,0,0,0.0,0.0,0.0
U+2363,1,1,0,0.0,1.0,-1.0
U+1f4ee,1,1,0,0.0,1.0,-1.0
U+1f555,1,1,0,0.0,1.0,-1.0
U+1f1ed,1,0,0,0.0,0.0,0.0
U+25dc,1,0,0,0.0,0.0,0.0
U+1f52f,1,0,1,1.0,0.0,1.0
U+27b8,1,0,1,1.0,0.0,1.0
U+a4b5,1,0,1,1.0,0.0,1.0
U+1f565,1,1,0,0.0,1.0,-1.0
U+2659,1,0,0,0.0,0.0,0.0
U+25bf,1,0,0,0.0,0.0,0.0
U+2683,1,0,0,0.0,0.0,0.0
U+273d,1,0,1,1.0,0.0,1.0
U+1f4fc,1,0,1,1.0,0.0,1.0
U+1f550,1,1,0,0.0,1.0,-1.0
U+1f004,1,0,1,1.0,0.0,1.0
U+273e,1,0,0,0.0,0.0,0.0
U+272c,1,0,1,1.0,0.0,1.0
U+1f191,1,0,0,0.0,0.0,0.0
U+272b,1,0,1,1.0,0.0,1.0
U+1f554,1,1,0,0.0,1.0,-1.0
U+2763,1,0,1,1.0,0.0,1.0
U+27b1,1,0,0,0.0,0.0,0.0
U+1f195,1,0,0,0.0,0.0,0.0
U+27a2,1,0,0,0.0,0.0,0.0
U+2195,1,0,0,0.0,0.0,0.0
U+1f4eb,1,0,1,1.0,0.0,1.0
U+1f250,1,0,1,1.0,0.0,1.0
U+264a,1,0,0,0.0,0.0,0.0
U+1f202,1,1,0,0.0,1.0,-1.0
U+1f3b0,1,1,0,0.0,1.0,-1.0
U+482,1,1,0,0.0,1.0,-1.0
U+2564,1,1,0,0.0,1.0,-1.0
U+279b,1,0,0,0.0,0.0,0.0
U+265d,1,0,0,0.0,0.0,0.0
U+274b,1,0,0,0.0,0.0,0.0
